personal-housing-6	6	16
formal-job-78	2	12
formal-housing-2	4	14
formal-job-76	2	12
personal-war_politics-7	3	13
formal-housing-3	2	12
formal-job-67	2	12
formal-school-135	1	11
formal-school-75	1	10
news-job-0	1	10
formal-job-64	1	10
formal-travelling-1	1	10
formal-school-28	1	10
news-school-3	1	9
news-war_politics-22	1	9
formal-job-70	1	9
formal-general-11	1	9
personal-school-56	1	9
formal-school-58	1	9
other-general-13	1	9
formal-housing-0	1	8
personal-housing-22	1	8
other-general-5	1	8
formal-school-177	1	8
formal-school-20	1	8
formal-housing-17	1	8
formal-school-64	1	7
formal-job-30	1	7
formal-job-34	1	7
formal-school-182	1	7
formal-health-12	1	7
formal-school-42	1	7
formal-school-31	1	7
news-war_politics-42	1	7
formal-job-17	1	7
formal-school-85	1	7
other-general-4	1	7
formal-school-198	1	6
formal-job-37	1	6
formal-school-0	1	6
personal-job-2	1	6
news-war_politics-21	1	6
other-general-2	1	6
formal-school-195	1	6
formal-health-2	1	6
formal-job-49	1	6
formal-school-184	1	6
formal-job-77	1	6
formal-health-31	1	6
personal-housing-38	1	6
other-job-1	1	6
formal-school-36	1	6
formal-travelling-3	1	6
personal-school-1	1	5
formal-school-106	1	5
formal--1	1	5
formal-war_politics-3	1	5
news-war_politics-10	1	5
personal-travelling-10	1	5
personal-job-13	1	5
formal-school-169	1	5
news-general-2	1	5
formal-housing-10	1	5
personal-school-29	1	5
formal-school-74	1	5
news-school-4	1	5
formal-job-65	1	5
formal-school-191	1	5
formal-school-49	1	5
other-general-11	1	5
personal-school-37	1	5
formal-general-24	1	5
personal-general-70	1	4
news-school-1	1	4
formal-school-127	1	4
personal-general-74	1	4
formal-school-186	1	4
news-general-0	1	4
formal-health-20	1	4
news-general-9	1	4
personal-housing-31	1	4
formal-job-42	1	4
other-war_politics-0	1	4
formal-job-31	1	4
other-job-0	1	4
formal-housing-7	1	4
news-general-17	1	4
other-general-9	1	4
formal-school-101	1	4
formal-school-105	1	4
personal-housing-19	1	4
news-general-15	1	4
formal-health-3	1	4
personal-job-5	1	4
personal-school-80	1	4
formal-job-56	1	4
formal-school-179	1	4
other-job-2	1	4
news-war_politics-19	1	4
formal-general-29	1	4
formal-school-21	1	4
formal-school-116	1	4
formal-health-13	1	4
formal-housing-8	1	4
personal-housing-28	1	4
formal-job-15	1	4
formal-school-130	1	4
formal-school-17	1	4
formal-housing-16	1	4
formal-job-40	1	4
formal-job-57	1	4
news-health-0	1	4
personal-health-37	1	3
news-school-2	1	3
formal-health-37	1	3
personal-housing-43	1	3
news-general+health-0	1	3
formal-job-55	1	3
formal-school-71	1	3
formal-school-193	1	3
personal-general-38	1	3
news-war_politics-40	1	3
formal-school-163	1	3
news-general-19	1	3
news-general-16	1	3
personal-school-22	1	3
formal-school-65	1	3
news-war_politics-24	1	3
personal-housing-3	1	3
formal-school-46	1	3
formal-school-55	1	3
formal-school-104	1	3
news-job-1	1	3
formal-school-109	1	3
formal-general-26	1	3
formal-health-22	1	3
formal-school-41	1	3
