news-6	30	40
unknown-7	80	90
unknown-3	54	64
unknown-1	17	27
unknown-25	31	41
unknown-5	32	42
news-0	30	40
unknown-24	19	29
news-34	14	24
unknown-21	18	28
other-97	5	15
news-29	6	16
other-71	8	18
unknown-2	12	22
unknown-15	10	20
news-16	9	19
unknown-8	9	19
news-5	5	15
unknown-20	3	13
other-111	2	12
news-23	3	13
unknown-48	1	11
unknown-22	2	12
unknown-6	7	17
news-4	7	17
unknown-9	5	15
news-30	5	15
news-12	5	15
news-17	1	11
personal-general-302	5	15
formal-0	4	14
unknown-46	2	12
news-8	1	11
news-36	2	12
unknown-4	1	11
unknown-0	2	12
personal-general-510	2	12
news-27	2	12
unknown-33	1	10
news-2	1	10
unknown-40	1	9
news-25	1	9
personal-housing-8	1	9
personal-health-9	1	9
unknown-19	1	9
news-9	1	8
personal-school-13	1	8
unknown-32	1	8
news-32	1	8
personal-general-335	1	8
personal-general-327	1	8
unknown-30	1	8
news-11	1	8
unknown-27	1	8
personal-housing-35	1	8
news-20	1	8
unknown-38	1	8
unknown-41	1	7
news-war_politics-1	1	7
personal-housing-10	1	7
personal-general-261	1	7
news-1	1	7
unknown-56	1	7
personal-job-36	1	7
news-26	1	7
personal-job-29	1	7
personal-general-118	1	6
personal-housing-27	1	6
personal-general-79	1	6
personal-general-471	1	6
personal-general-476	1	6
personal-general-264	1	6
unknown-51	1	6
personal-general-149	1	6
news-33	1	6
news-14	1	6
unknown-34	1	6
personal-general-73	1	6
personal-school-11	1	6
personal-general-155	1	6
personal-general-543	1	6
personal-general-342	1	6
unknown-37	1	5
personal-general-462	1	5
other-135	1	5
