M0805	0.2387603	-0.726327 	18
M1315	0.0002735836	-3.631056 	68
M0169	0.08769717	-1.486742 	9
M0980	0.6867413	0.4894332 	55
M1246	4.094562e-05	-4.157442 	79
M0474	0.03377549	-2.113059 	9
M0724	0.9988367	3.055836 	726
M0013	7.94643e-07	-5.050872 	121
M1362	0.9968501	2.74965 	326
M0232	0.03780966	-1.795928 	98
M1100	0.6400046	0.3732756 	8
M0324	4.90282e-09	-6.062669 	156
M0224	0.4865861	-0.03469614 	9
M1069	0.04127078	-1.740104 	440
M0808	0.3199694	-0.4715577 	39
M0360	0.7630348	0.7204912 	63
M0741	0.02183893	-2.050469 	79
M0995	9.113935e-05	-4.049562 	50
M0301	0.09874423	-1.295692 	125
M0687	0.3686843	-0.3362472 	104
M0616	0.2492734	-0.677222 	557
M1009	0.007986337	-2.894895 	11
M1317	0.8107754	0.881657 	436
M1079	0.2760527	-0.6206366 	9
M0422	0.0003048957	-3.553995 	90
M0399	0.05134303	-1.816411 	10
M1208	0.08074726	-1.402189 	489
M0496	0.2519927	-0.6687601 	459
M0853	0.002503433	-3.173111 	20
M0794	0.0315499	-1.886116 	77
M1112	0.4405615	-0.1497763 	167
M0071	0.03364851	-1.84655 	120
M0151	0.9325532	1.613674 	12
M1368	0.3498815	-0.3899318 	27
M0700	0.4405399	-0.1498779 	139
M0336	0.007491471	-3.634926 	6
M0462	0.5	0 	11
M0532	0.9127098	1.360793 	307
M1414	0.03796399	-1.78932 	129
M0991	2.151693e-09	-7.886376 	34
M1002	0.04252096	-1.737673 	112
M0419	0.1527947	-1.028424 	136
M0233	9.370228e-07	-5.008389 	123
M0623	0.002497506	-2.911322 	63
M0417	0.09090629	-1.363957 	34
M0996	0.001996788	-3.83556 	10
M1344	0.5275761	0.06923503 	307
M0725	0.2953343	-0.5381267 	670
M0454	0.3125026	-0.4977966 	18
M1371	0.01409333	-2.757764 	8
M0219	2.828e-06	-4.706394 	152
M0994	0.4629989	-0.0937865 	27
M1353	0.0008230283	-3.233005 	104
M1027	0.2118276	-0.8007372 	513
M0141	0.1822671	-0.9229216 	27
M1272	0.00166912	-2.980306 	158
M1229	0.4436719	-0.1417653 	365
M1295	6.340824e-10	-6.746972 	94
M0599	0.007114976	-2.569567 	39
M0199	0.970296	1.897649 	174
M0367	0.06616491	-1.512647 	162
M0783	0.01941854	-2.107308 	68
M1110	0.9222837	1.423234 	409
M0273	0.1010097	-1.376238 	10
M1016	0.4095657	-0.2287529 	665
M0944	0.05409434	-1.625038 	79
M1008	0.05644086	-1.812012 	8
M0364	0.1974944	-0.85367 	121
M0609	0.5768158	0.1938224 	738
M1171	0.7813523	0.7966874 	17
M0948	5.93699e-05	-4.020608 	93
M0810	6.336849e-05	-4.124294 	56
M0446	0.873691	1.146075 	322
M1415	0.7950944	0.8644068 	10
M1404	0.07928565	-1.422544 	85
M0742	0.0007427913	-3.227433 	180
M1401	0.002985334	-3.028894 	24
M1005	0.003259086	-3.234636 	14
M1228	0.3314531	-0.4361449 	540
M0288	0.01956934	-2.117221 	52
M1357	9.592838e-07	-5.015975 	117
M1052	0.06686784	-1.51595 	76
M0001	0.1319633	-1.232317 	7
M0065	4.501192e-05	-4.39398 	38
M0540	0.98139	2.102302 	149
M0083	0.005895612	-2.527032 	534
M1222	0.5076367	0.01974978 	9
M0029	4.964521e-05	-5.137452 	17
M0167	0.0003215266	-4.004314 	22
M0157	0.1066528	-1.293005 	18
M0797	0.6988647	0.5226476 	111
M0498	0.6803699	0.4737006 	30
M1175	0.002568598	-2.864051 	97
M0581	0.1724857	-0.9471027 	166
M0344	0.0004339915	-3.482 	70
M0629	0.0008263456	-3.205772 	148
M1416	0.9655703	1.904791 	25
M0720	0.0003628649	-3.501414 	90
M1375	0.03537633	-1.825781 	105
M1421	0.04293195	-1.731765 	122
M0130	5.728726e-08	-5.98049 	64
M0274	0.2990309	-0.5298319 	65
M0385	0.6756017	0.4580393 	54
M0377	0.00289794	-2.856487 	64
M0884	0.3293283	-0.4428437 	124
M0754	0.2507009	-0.6744139 	116
M0188	0.6095183	0.2875987 	9
M0362	1.470214e-06	-4.881921 	135
M0110	0.2946343	-0.5432651 	53
M0220	0.8328666	0.9783262 	38
M0531	0.8502971	1.048822 	50
M0523	0.1011303	-1.284948 	87
M1138	0.04032745	-1.76442 	103
M1238	0.5966306	0.2469629 	29
M0432	0.09532051	-1.32187 	69
M1029	0.0223803	-2.134382 	22
M0427	5.716369e-05	-3.995394 	116
M0671	0.104848	-1.262063 	107
M1172	0.4217207	-0.204008 	9
M1379	0.8677449	1.199883 	9
M0976	3.976813e-05	-4.171663 	77
M1206	0.001448829	-3.301054 	26
M1007	0.008687293	-2.398539 	202
M0953	0.4192086	-0.2045443 	86
M1120	0.03398184	-2.045983 	11
M1035	0.517946	0.04519378 	59
M1196	0.7799151	0.7738727 	158
M0276	0.9214443	1.484494 	17
M1343	0.9419055	1.655381 	18
M1178	7.311406e-08	-5.460874 	192
M1086	0.002968884	-2.799111 	126
M0847	0.4261835	-0.1893368 	16
M1149	6.640134e-08	-6.461517 	39
M0999	0.08344121	-1.423745 	26
M0176	0.01485546	-2.286547 	30
M0066	0.7869567	0.8181345 	16
M0527	0.3937763	-0.269751 	278
M0303	0.5950912	0.2465228 	12
M0871	0.9849853	2.713895 	8
M1121	0.03288651	-1.864297 	85
M1391	0.7115562	0.5667567 	22
M0924	0.3083444	-0.5029285 	67
M1049	0.9554532	1.864784 	12
M0554	0.3036402	-0.5305954 	11
M0997	0.9755154	2.12055 	18
M1236	0.3098682	-0.5054451 	18
M0643	0.2951127	-0.5396849 	149
M0480	0.8611381	1.123686 	17
M1216	0.071607	-1.495698 	38
M0734	1.553796e-05	-5.72882 	17
M0495	0.9863619	2.344873 	26
M0254	0.9803771	2.146877 	34
M0966	0.6203499	0.3075049 	77
M1377	0.0164802	-2.203556 	44
M0645	0.1635903	-1.001131 	24
M0080	0.04508687	-1.725999 	54
M1243	0.769779	0.7424616 	67
M0903	0.7582243	0.7138777 	21
M0374	0.9298772	1.663086 	8
M0753	0.02648325	-1.964313 	81
M0686	0.005099807	-2.597329 	175
M0902	0.008497682	-2.420555 	121
M0717	0.05917987	-1.581695 	69
M0457	0.03724852	-1.799625 	118
M0663	0.1846833	-0.9014995 	107
M0405	2.087592e-06	-4.898527 	92
M0718	0.1067796	-1.351328 	9
M0835	0.05563078	-1.765682 	10
M0556	0.1377662	-1.090839 	1392
M1103	0.9734947	1.948188 	174
M1254	0.7307143	0.6257245 	21
M0493	0.4794689	-0.05194943 	29
M0293	0.8760385	1.209728 	14
M0614	0.7816018	0.8137335 	10
M0257	0.6667094	0.4472136 	9
M0490	0.297132	-0.5547002 	9
M0135	0.04716468	-1.702386 	56
M0392	0.1226445	-1.169336 	93
M0940	0.6946278	0.5120484 	54
M0228	0.009329716	-2.433231 	50
M0543	0.0006354397	-3.3457 	78
M1267	5.302902e-05	-4.05385 	92
