hit wid src trg item work.seconds accept.time submit.time concurrent.hits corrected.work.seconds approval 
3XAOZ9UYRZRSVLL11JPXMKQY1U21QS	M0375	ru	en	ad	6076	"2022-09-29 06:50:24"	"2022-09-29 08:31:40"	1	6076	Submitted	
3X2LT8FDHWIFQI18CDXITJVS3298W9	M0375	ru	en	ad	548	"2022-09-30 03:13:37"	"2022-09-30 03:22:45"	1	548	Submitted	
3DWGDA5POF4K0THINIJ7S7P6IPG1VR	M0085	cs	en	ad	932	"2022-10-06 01:16:11"	"2022-10-06 01:31:43"	1	932	Submitted	
3M4KL7H8KVNZL32HMABZGF971UA61M	M0926	uk	en	ad	1422	"2022-09-30 02:39:30"	"2022-09-30 03:03:12"	1	1422	Submitted	
3KQC8JMJGCSBSV0D5XGM1ZDU8PDH3T	M0132	ru	en	ad	552	"2022-09-26 09:41:20"	"2022-09-26 09:50:32"	1	552	Submitted	
37J05LC5AXJ51TX0MMPJQLFLCXJDJB	M1070	de	en	ad	1740	"2022-10-03 07:17:50"	"2022-10-03 07:46:50"	2	870	Submitted	
37OPIVELUU3BCGZYECVWO7R0E2IHA8	M1070	ja	en	ad	2025	"2022-10-03 07:18:55"	"2022-10-03 07:52:40"	2	1012.5	Submitted	
3AA88CN98P33AOY903C94LPZ99IKYG	M0438	ja	en	ad	1683	"2022-09-29 01:51:56"	"2022-09-29 02:19:59"	1	1683	Submitted	
307FVKVSYRFZH2D5S2ZTKRG68OK47A	M0661	ru	en	ad	2610	"2022-09-29 02:09:49"	"2022-09-29 02:53:19"	1	2610	Submitted	
3M0556243SKYI32HSQC17SZNXUHFN5	M0661	cs	en	ad	3331	"2022-09-30 01:26:06"	"2022-09-30 02:21:37"	2	1665.5	Submitted	
3IHWR4LC7DDXPNH3NWT3SSMKORAI8B	M0661	de	en	ad	5985	"2022-09-30 01:27:00"	"2022-09-30 03:06:45"	2	2992.5	Submitted	
3ACRLU860NE4BGDOUPNMYFET41YEB1	M1115	ru	en	ad	1072	"2022-09-26 08:02:59"	"2022-09-26 08:20:51"	1	1072	Submitted	
3XH7ZM9YX2UAWR3WIBTQ6GIMVSRR9R	M1115	uk	en	ad	1107	"2022-09-29 02:57:05"	"2022-09-29 03:15:32"	1	1107	Submitted	
311HQEI8RSGFKZ1UDVPJENTF9KSZ7O	M1115	ja	en	ad	4053	"2022-10-03 07:20:22"	"2022-10-03 08:27:55"	2	2026.5	Submitted	
3ODOP6T3ASKSV1GZMQIYO0ZYX94240	M1115	ja	en	ad	4710	"2022-10-03 07:20:25"	"2022-10-03 08:38:55"	2	2355	Submitted	
33K3E8REWWVUFI6YMIT4V29ZC4EX8Q	M0336	cs	en	ad	1386	"2022-09-30 01:23:53"	"2022-09-30 01:46:59"	1	1386	Submitted	
3TFJJUELSHPVQ5TEF5OG7YBMPJ82CU	M0966	ru	en	ad	378	"2022-09-26 07:57:43"	"2022-09-26 08:04:01"	1	378	Submitted	
3XBYQ44Z6P4YO2TWFB8DKFRFHC2WTO	M0966	ru	en	ad	235	"2022-09-26 08:11:11"	"2022-09-26 08:15:06"	4	58.75	Submitted	
37OPIVELUU3BCGZYECVWO7R0EZ5HAP	M0966	ru	en	ad	809	"2022-09-26 08:11:36"	"2022-09-26 08:25:05"	4	202.25	Submitted	
3YD0MU1NC21EJRTM139KXU260W97AD	M0966	ru	en	ad	1259	"2022-09-26 08:12:08"	"2022-09-26 08:33:07"	3	419.666666666667	Submitted	
3K8CQCU3KE10TPOCIFM1BGLNSUGWNN	M0966	ru	en	ad	1644	"2022-09-26 08:13:53"	"2022-09-26 08:41:17"	4	411	Submitted	
3OND0WXMHWFE2TGAUHXIKQHRZE3EHH	M0966	ru	en	ad	3109	"2022-09-26 08:24:38"	"2022-09-26 09:16:27"	4	777.25	Submitted	
3VP28W7DUNKSZSG0VENV2F6W76JFZC	M0966	ru	en	ad	821	"2022-09-27 09:13:29"	"2022-09-27 09:27:10"	1	821	Submitted	
3OND0WXMHWFE2TGAUHXIKQHRZIQHEF	M0966	ja	en	ad	1950	"2022-10-04 12:24:25"	"2022-10-04 12:56:55"	1	1950	Submitted	
3EKTG13IZU3E0DRD200ZPQF7PX3MLL	M0662	ja	en	ad	2968	"2022-09-26 08:03:09"	"2022-09-26 08:52:37"	1	2968	Submitted	
3LOJFQ4BOXF0CD3I47PVR0FYROBKDD	M0517	cs	en	ad	3123	"2022-10-06 02:26:52"	"2022-10-06 03:18:55"	1	3123	Submitted	
371DNNCG442NY1XEH8S76ZOTZ9NT82	M1010	zh	en	ad	4668	"2022-10-04 16:49:59"	"2022-10-04 18:07:47"	1	4668	Submitted	
3BVS8WK9Q0VGRLFAQ8DDJUCLWU5BI7	M0578	ru	en	ad	1268	"2022-09-26 11:12:16"	"2022-09-26 11:33:24"	1	1268	Submitted	
324N5FAHSXBM6U34VSPPXML5RSGVKI	M0952	ja	en	ad	602	"2022-09-29 04:42:16"	"2022-09-29 04:52:18"	1	602	Submitted	
3NI0WFPPI9GZEEHZQR7Z2AQXW2460J	M0316	uk	en	ad	648	"2022-09-30 02:16:08"	"2022-09-30 02:26:56"	1	648	Submitted	
3TKXBROM5TAM94DME0QUHIVY4ZEJI0	M1168	ru	en	ad	3725	"2022-09-26 08:02:28"	"2022-09-26 09:04:33"	1	3725	Submitted	
375VSR8FVW9P2IL9M9NPJ4KFAT9ZR4	M0828	ru	en	ad	652	"2022-09-26 11:11:11"	"2022-09-26 11:22:03"	1	652	Submitted	
3XABXM4AJ15A6L5M04YC1UD6F1RQ8M	M1412	de	en	ad	1005	"2022-09-30 01:45:11"	"2022-09-30 02:01:56"	1	1005	Submitted	
3OREP8RUT2B2VU9F0KDAYIZ5HKQGB3	M0568	de	en	ad	7094	"2022-10-03 08:42:28"	"2022-10-03 10:40:42"	1	7094	Submitted	
3VLL1PIENQOM55TTUH6LP9FAZA6ZOK	M0524	zh	en	ad	4286	"2022-10-03 16:03:14"	"2022-10-03 17:14:40"	1	4286	Submitted	
336OE47KI2KD1UXLK68SLXF0E2OWVK	M1316	cs	en	ad	1719	"2022-10-06 02:16:07"	"2022-10-06 02:44:46"	1	1719	Submitted	
37ZQELHEQ0Y4ODUYEDGE2IJWUVUMNK	M0051	ja	en	ad	484	"2022-09-30 02:15:16"	"2022-09-30 02:23:20"	1	484	Submitted	
3IVEC1GSLPZB9YHO6T5OPJECN0GJ1R	M0908	de	en	ad	271	"2022-10-03 08:33:02"	"2022-10-03 08:37:33"	1	271	Submitted	
3NOEP8XAU42FLA5F8ZVFHO4P1F4PXU	M0377	uk	en	ad	882	"2022-10-03 12:02:25"	"2022-10-03 12:17:07"	2	441	Submitted	
3ACRLU860NE4BGDOUPNMYFET45FEBQ	M0377	zh	en	ad	1569	"2022-10-03 12:02:41"	"2022-10-03 12:28:50"	2	784.5	Submitted	
36GJS3V78VQ8DD7ROCQRW6IIPQ9GJ0	M0377	zh	en	ad	935	"2022-10-04 11:18:35"	"2022-10-04 11:34:10"	5	187	Submitted	
3Y3N5A7N4G9Y0CYCLFPPJYH3YGUMY8	M0377	ja	en	ad	1329	"2022-10-04 11:18:56"	"2022-10-04 11:41:05"	4	332.25	Submitted	
3UEDKCTP9VQKV428DUM9R8525CQK70	M0377	de	en	ad	1688	"2022-10-04 11:21:00"	"2022-10-04 11:49:08"	3	562.666666666667	Submitted	
3VO4XFFP15M66703QZ66NUHB4IIQ7Y	M0377	uk	en	ad	2317	"2022-10-04 11:21:41"	"2022-10-04 12:00:18"	4	579.25	Submitted	
30OITAWPBQ3X7XPTM6HWSCGG8LA9HX	M0377	cs	en	ad	2592	"2022-10-04 11:27:41"	"2022-10-04 12:10:53"	5	518.4	Submitted	
3QXFBUZ4ZKGHRTIL0BU538RT64QGUB	M0198	uk	en	ad	4273	"2022-09-29 06:04:23"	"2022-09-29 07:15:36"	6	712.166666666667	Submitted	
3X55NP42EOG35CY1OAORA8FLUIU3PV	M0198	uk	en	ad	4378	"2022-09-29 06:05:56"	"2022-09-29 07:18:54"	5	875.6	Submitted	
3SV8KD29L4S3FE8EWPESISY1F3MKZ7	M0198	ja	en	ad	4571	"2022-09-29 06:06:38"	"2022-09-29 07:22:49"	4	1142.75	Submitted	
3HJ1EVZS2OJOHPEG12SGF3F0V0I3RN	M0198	ru	en	ad	4870	"2022-09-29 06:06:49"	"2022-09-29 07:27:59"	4	1217.5	Submitted	
356ZPKYPUHH4LFVPDVHH02BY3JOPYM	M0198	ja	en	ad	5018	"2022-09-29 06:07:20"	"2022-09-29 07:30:58"	5	1003.6	Submitted	
3HY86PZXPYI3YIVWSSUXS31KIRE1EG	M0198	uk	en	ad	5093	"2022-09-29 06:08:32"	"2022-09-29 07:33:25"	6	848.833333333333	Submitted	
31MBOZ6PAOR1RRFMPB6LMUAVVL5LCC	M0198	ja	en	ad	2318	"2022-09-29 09:14:59"	"2022-09-29 09:53:37"	2	1159	Submitted	
3UUSLRKAUL3CHYWYLD0MNVACL1CD7V	M0198	ja	en	ad	2612	"2022-09-29 09:15:30"	"2022-09-29 09:59:02"	2	1306	Submitted	
3T8DUCXY0N6NC6GOM0YL6VJ4JEV9TV	M0198	ja	en	ad	695	"2022-10-03 07:20:47"	"2022-10-03 07:32:22"	7	99.2857142857143	Submitted	
3OND0WXMHWFE2TGAUHXIKQHRZHGEH0	M0198	ja	en	ad	1310	"2022-10-03 07:20:48"	"2022-10-03 07:42:38"	6	218.333333333333	Submitted	
3PZDSVZ3J5HOKN5S89GIGO2W84V4NT	M0198	ja	en	ad	1730	"2022-10-03 07:20:49"	"2022-10-03 07:49:39"	5	346	Submitted	
309D674SHZLPEITAYYHR8REQJSYCBP	M0198	ja	en	ad	2151	"2022-10-03 07:20:50"	"2022-10-03 07:56:41"	7	307.285714285714	Submitted	
3CVBMEMMXBGTTE1079JCEGPADUC7H7	M0198	ja	en	ad	2535	"2022-10-03 07:20:50"	"2022-10-03 08:03:05"	7	362.142857142857	Submitted	
309D674SHZLPEITAYYHR8REQJSYCBP	M0198	ja	en	ad	2151	"2022-10-03 07:20:50"	"2022-10-03 07:56:41"	7	307.285714285714	Submitted	
3CVBMEMMXBGTTE1079JCEGPADUC7H7	M0198	ja	en	ad	2535	"2022-10-03 07:20:50"	"2022-10-03 08:03:05"	7	362.142857142857	Submitted	
3M93N4X8HKNB3IGIJCK8LK1LDZMJS2	M1379	uk	en	ad	2163	"2022-09-29 02:42:04"	"2022-09-29 03:18:07"	1	2163	Submitted	
37SOB9Z0SSXDERJ3WIVKTR61P8T3LX	M1274	uk	en	ad	1188	"2022-09-29 01:56:07"	"2022-09-29 02:15:55"	1	1188	Submitted	
3VP28W7DUNKSZSG0VENV2F6W78PFZM	M1274	de	en	ad	1103	"2022-09-30 01:25:19"	"2022-09-30 01:43:42"	3	367.666666666667	Submitted	
3K1H3NEY7LZVAR7ZEG4GT8N5K5FDGK	M1274	de	en	ad	2092	"2022-09-30 01:25:21"	"2022-09-30 02:00:13"	2	1046	Submitted	
3E22YV8GG16A9GRB6T86JMDRZ04NPG	M1274	de	en	ad	3481	"2022-09-30 01:25:22"	"2022-09-30 02:23:23"	3	1160.33333333333	Submitted	
3TUOHPJXYHX55J2GKL9A9ICLUDWWXN	M0664	cs	en	ad	601	"2022-10-06 03:17:06"	"2022-10-06 03:27:07"	1	601	Submitted	
3G4VVJO6PZG91A689GGQRUWN55ZPKD	M0904	cs	en	ad	2856	"2022-09-30 01:24:14"	"2022-09-30 02:11:50"	1	2856	Submitted	
3JHB4BPSFK9AKQOW5W4Q1Q8HZ809QN	M0091	zh	en	ad	1491	"2022-10-03 14:03:37"	"2022-10-03 14:28:28"	1	1491	Submitted	
359AP8GAGGK2C6QKLH5B3PSU00E7C1	M1267	uk	en	ad	2022	"2022-09-27 09:37:43"	"2022-09-27 10:11:25"	1	2022	Submitted	
3QX22DUVOOHHWI37G425CZD9GXBVMN	M1267	ja	en	ad	1964	"2022-09-29 02:49:47"	"2022-09-29 03:22:31"	1	1964	Submitted	
36AZSFEYZ40LDRZAPFCWYJ2F4ZSBV1	M1267	ja	en	ad	3552	"2022-09-30 03:13:44"	"2022-09-30 04:12:56"	4	888	Submitted	
3HA5ODM5KASKUDGC01YRO8CF8NDVSL	M1267	de	en	ad	2655	"2022-09-30 03:13:45"	"2022-09-30 03:58:00"	5	531	Submitted	
3B6F54KMR2C4810ETNE2HK5ZJJ71S3	M1267	ja	en	ad	4619	"2022-09-30 03:13:46"	"2022-09-30 04:30:45"	3	1539.66666666667	Submitted	
3P7RGTLO6ED2E606KXYT1Z7S6JZKAS	M1267	cs	en	ad	5639	"2022-09-30 03:13:47"	"2022-09-30 04:47:46"	4	1409.75	Submitted	
