66.7 0.069 1652 2029 DLUT.6 DLUT
66.1 0.068 1607 1924 NT5.4 NT5
66.3 0.059 1698 2040 JDExploreAcademy.8 JDExploreAcademy
67 0.054 1705 2132 LanguageX.12 LanguageX
68.2 0.049 1701 2092 Online-B.7 Online-B
66.1 0.046 1635 2061 Online-W.1 Online-W
68.5 0.016 1630 2083 Lan-Bridge.9 Lan-Bridge
67.1 0.006 1695 2095 Online-G.10 Online-G
64.8 0.006 1641 2038 Online-A.13 Online-A
63.8 -0.018 1695 2067 AISP-SJTU.0 AISP-SJTU
66.5 -0.021 1637 1962 NAIST-NICT-TIT.5 NAIST-NICT-TIT
66.6 -0.035 1623 1976 Online-Y.3 Online-Y
62.5 -0.056 1655 2009 KYB.2 KYB
26.2 -1.285 1752 2130 AIST.11 AIST
